marca,grupo,tipo_vinculo,fuente,fecha_verificacion,estado
abercrombie-fitch,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
adidas,Marcolin,licencia,marcolin.com/it/brand/ — adidas Originals y adidas Sport,2026-08-04,verificado
adidas-originals,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
adidas-sport,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
agatha-ruiz-de-la-prada,Optim,licencia,about.agatharuizdelaprada.com/en/licencias/gafas-2/ — licenciatario exclusivo,2026-08-01,verificado
airlock,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
alaia,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
alain-mikli,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
alexander-mcqueen,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
allsaints,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
anna-sui,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
aramis,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
armani-exchange,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
arnette,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
balenciaga,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
benetton,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
blenders,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
bliz,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
blumarine,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
bmw,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
bolon,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
boss,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
bottega-veneta,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
brooks-brothers,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
brunello-cucinelli,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
burberry,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
bvlgari,Thélios (LVMH),licencia,"thelios.com — comunicado + WWD: licencia efectiva ene-2024, sustituye a EssilorLuxottica",2026-08-01,verificado
calvin-klein,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
calvin-klein-jeans,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
canada-goose,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
carolina-herrera,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
carrera,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
cartier,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
cath-kidston,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
ch-carolina-herrera,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
chanel,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
chloe,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
chopard,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
christian-lacroix,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
christian-louboutin,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
coach,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
columbia,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
converse,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
costa,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
david-beckham,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
day-night,PENDIENTE,,Sin verificar. 1 ficha.,,sin_verificar
dbyd,GrandVision (retailer),marca_blanca,optica2000.com (catálogo),2026-08-01,verificado
diesel,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
diff,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
dkny,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
dolce-gabbana,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
donna-karan,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
dragon,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
dsquared2,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
dunhill,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
emilio-pucci,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
emporio-armani,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
ermenegildo-zegna,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
escada,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
eschenbach,Independiente,propia,,,inferido
etro,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
ferrari,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
fila,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
flexon,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
florence-by-mills,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
fossil,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
foster-grant,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
freigeist,Independiente,propia,eschenbach-eyewear.com/en/brand/freigeist-en/ — marca de Eschenbach Optik,2026-08-04,verificado
furla,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
gant,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
gap,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
gcds,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
giorgio-armani,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
goppies,PENDIENTE,,Probable marca propia de General Óptica; sin confirmar. 1 ficha.,,sin_verificar
gucci,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
guess,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
guess-jeans,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
hackett,Mondottica,licencia,mondottica.com/brands/hackett/,2026-08-04,verificado
hackett-bespoke,Mondottica,licencia,mondottica.com/brands/hackett/,2026-08-04,verificado
harley-davidson,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
hollister,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
hugo,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
hugo-boss,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
ic-berlin,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
isabel-marant,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
j-landon,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
jimmy-choo,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
john-varvatos,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
jones-ny,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
joules,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
juicy-couture,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
julbo,Independiente,propia,julbo.us/pages/heritage — fabricante francés independiente desde 1888,2026-08-04,verificado
just-cavalli,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
k-way,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
karen-millen,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
karl-lagerfeld,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
kate-spade,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
kendra-scott,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
kenneth-cole,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
kurt-geiger,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
lacoste,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
lanvin,PENDIENTE,,Sin verificar. 1 ficha.,,sin_verificar
levis,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
lindberg,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
liu-jo,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
liz-claiborne,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
longchamp,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
love-moschino,Safilo,licencia,,,inferido: Moschino es Safilo
lozza,De Rigo,propia,derigo.com/en/our-brands/,2026-08-01,verificado
lucky-brand,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
maje,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
marc-jacobs,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
marchon-nyc,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
marciano,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
maui-jim,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
max-e-co,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
max-mara,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
mcm,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
michael-kors,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
miraflex,Independiente,propia,,,inferido
missoni,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
miu-miu,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
moncler,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
montblanc,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
moschino,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
mr-wonderful,Optim,licencia,optim.vision/en/mr-wonderful,2026-08-01,verificado
mulberry,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
nano-silicona,Independiente,propia,,,inferido
nano-vista,Independiente,propia,,,inferido
native-eyewear,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
nautica,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
neubau,Independiente,propia,silhouette-group.com/en/brands — marca del Grupo Silhouette,2026-08-04,verificado
nike,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
nina-ricci,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
nine-west,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
nuance,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
oakley,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
off-white,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
oliver-peoples,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
palm-angels,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
pepe-jeans,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
persol,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
philipp-plein,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
pierre-cardin,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
polaroid,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
police,De Rigo,propia,derigo.com/en/our-brands/,2026-08-01,verificado
polo-ralph-lauren,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
porsche-design,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
ports,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
prada,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
prada-linea-rossa,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
prive-revaux,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
puma,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
pure,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
rag-bone,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
ralph,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/ (submarca de la licencia Ralph Lauren),2026-08-02,verificado
ralph-lauren,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
ray-ban,EssilorLuxottica,propia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
reebok,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
roberto-cavalli,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
rodenstock,De Rigo,licencia,derigo.com/en/brand-partner/,2026-08-01,verificado
safilo,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
saint-laurent,Kering Eyewear,licencia,keringeyewear.com/en/our-brands,2026-08-01,verificado
salvatore-ferragamo,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
sandro,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
scalpers,Federópticos,licencia,"modaengafas.com — 'Scalpers, socio de Federópticos en óptica'; distribución en España desde 2019",2026-08-04,verificado_prensa
scotch-soda,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
scuderia-ferrari,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
seen,GrandVision (retailer),marca_blanca,optica2000.com (catálogo),2026-08-01,verificado
seventh-street,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
silhouette,Independiente,propia,,,inferido
skaga,Marchon,licencia,marchon.com/brands,2026-08-01,verificado
skechers,Marcolin,licencia,marcolin.com/it/brand/,2026-08-01,verificado
smith,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
sting,De Rigo,propia,derigo.com/en/our-brands/,2026-08-01,verificado
stuart-weitzman,Safilo,licencia,safilogroup.com/it/prodotto/marchi,2026-08-01,verificado
swarovski,EssilorLuxottica,licencia,essilorluxottica.com/en/brands/eyewear/,2026-08-01,verificado
ted-baker,Mondottica,licencia,mondottica.com/brands/,2026-08-04,verificado
the-wave,PENDIENTE,,Sin verificar. 4 fichas.,,sin_verificar
